,date,open,close,high,low,volume,code
183,2019-10-08,7.65,7.69,7.72,7.65,27170.0,600021
184,2019-10-09,7.7,7.75,7.78,7.65,23653.0,600021
185,2019-10-10,7.75,7.82,7.82,7.74,27790.0,600021
186,2019-10-11,7.84,7.84,7.86,7.78,30462.0,600021
187,2019-10-14,7.86,7.9,7.95,7.86,44009.0,600021
188,2019-10-15,7.96,7.95,8.0,7.89,56206.0,600021
189,2019-10-16,7.95,7.94,8.01,7.93,37709.0,600021
190,2019-10-17,7.95,7.92,7.98,7.91,24759.0,600021
191,2019-10-18,7.95,7.79,7.96,7.78,38865.0,600021
192,2019-10-21,7.79,7.91,7.94,7.79,47131.0,600021
193,2019-10-22,7.91,7.82,7.96,7.72,43530.0,600021
194,2019-10-23,7.82,7.67,7.85,7.66,44323.0,600021
195,2019-10-24,7.67,7.69,7.7,7.62,30120.0,600021
196,2019-10-25,7.68,7.64,7.69,7.59,41814.0,600021
197,2019-10-28,7.64,7.67,7.72,7.62,54496.0,600021
198,2019-10-29,7.65,7.61,7.68,7.59,38351.0,600021
199,2019-10-30,7.59,7.41,7.59,7.38,69598.0,600021
200,2019-10-31,7.4,7.28,7.41,7.25,56820.0,600021
201,2019-11-01,7.23,7.19,7.23,7.09,68428.0,600021
202,2019-11-04,7.2,7.15,7.24,7.14,64035.0,600021
203,2019-11-05,7.17,7.16,7.18,7.1,54958.0,600021
204,2019-11-06,7.17,7.09,7.18,7.09,54513.0,600021
205,2019-11-07,7.12,7.12,7.17,7.1,42177.0,600021
206,2019-11-08,7.13,7.12,7.19,7.11,41301.0,600021
207,2019-11-11,7.15,6.98,7.15,6.97,55482.0,600021
208,2019-11-12,6.98,6.89,6.99,6.81,53163.0,600021
209,2019-11-13,7.2,7.18,7.51,7.09,167604.0,600021
210,2019-11-14,7.18,7.03,7.18,6.91,100582.0,600021
211,2019-11-15,7.0,6.85,7.0,6.84,72467.0,600021
212,2019-11-18,6.86,6.89,6.89,6.67,66865.0,600021
213,2019-11-19,6.88,6.99,7.0,6.78,68846.0,600021
214,2019-11-20,6.94,6.89,6.96,6.89,44922.0,600021
215,2019-11-21,6.88,6.95,6.96,6.81,42169.0,600021
216,2019-11-22,7.0,7.02,7.1,6.93,67474.0,600021
217,2019-11-25,7.06,7.06,7.08,6.96,47429.0,600021
218,2019-11-26,7.12,6.98,7.13,6.98,119806.0,600021
219,2019-11-27,7.01,7.08,7.14,6.99,56679.0,600021
220,2019-11-28,7.08,7.09,7.14,7.04,44435.0,600021
221,2019-11-29,7.11,7.13,7.13,7.08,40275.0,600021
222,2019-12-02,7.14,7.14,7.17,7.09,38333.0,600021
223,2019-12-03,7.14,7.16,7.16,7.08,34011.0,600021
224,2019-12-04,7.1,7.19,7.2,7.1,36408.0,600021
225,2019-12-05,7.19,7.29,7.32,7.19,49178.0,600021
226,2019-12-06,7.33,7.35,7.35,7.27,43893.0,600021
227,2019-12-09,7.32,7.39,7.39,7.31,36914.0,600021
228,2019-12-10,7.37,7.33,7.39,7.3,49896.0,600021
229,2019-12-11,7.38,7.38,7.38,7.29,67257.0,600021
230,2019-12-12,7.32,7.34,7.38,7.31,73076.0,600021
231,2019-12-13,7.36,7.39,7.48,7.31,104406.0,600021
232,2019-12-16,7.43,7.56,7.57,7.41,77483.0,600021
233,2019-12-17,7.55,7.66,7.66,7.5,68925.0,600021
234,2019-12-18,7.65,7.71,7.78,7.61,65388.0,600021
235,2019-12-19,7.72,7.69,7.78,7.65,56298.0,600021
236,2019-12-20,7.69,7.73,7.74,7.66,49019.0,600021
237,2019-12-23,7.68,7.56,7.75,7.53,73844.0,600021
238,2019-12-24,7.59,7.59,7.63,7.51,33988.0,600021
239,2019-12-25,7.59,7.67,7.76,7.56,43575.0,600021
240,2019-12-26,7.67,7.77,7.81,7.67,67646.0,600021
241,2019-12-27,7.76,7.74,7.81,7.72,46637.0,600021
242,2019-12-30,7.74,7.71,7.8,7.59,44726.0,600021
243,2019-12-31,7.71,7.81,7.81,7.67,37612.0,600021
244,2020-01-02,7.81,7.86,7.91,7.81,49560.0,600021
245,2020-01-03,7.86,7.85,7.89,7.82,34926.0,600021
246,2020-01-06,7.8,7.88,7.91,7.73,44059.0,600021
247,2020-01-07,7.86,7.87,7.93,7.84,35963.0,600021
248,2020-01-08,7.88,7.78,7.88,7.75,39241.0,600021
249,2020-01-09,7.84,7.83,7.9,7.79,29073.0,600021
250,2020-01-10,7.86,7.73,7.89,7.7,35265.0,600021
251,2020-01-13,7.75,7.87,7.87,7.65,48587.0,600021
252,2020-01-14,7.91,7.86,7.92,7.82,32342.0,600021
253,2020-01-15,7.86,7.66,7.86,7.64,45830.0,600021
254,2020-01-16,7.73,7.66,7.75,7.63,31761.0,600021
255,2020-01-17,7.66,7.58,7.7,7.56,27063.0,600021
256,2020-01-20,7.58,7.71,7.72,7.55,27361.0,600021
257,2020-01-21,7.71,7.51,7.71,7.49,48688.0,600021
258,2020-01-22,7.51,7.45,7.54,7.38,47277.0,600021
259,2020-01-23,7.5,7.22,7.5,7.16,60668.0,600021
260,2020-02-03,6.47,6.47,6.66,6.47,78593.0,600021
261,2020-02-04,6.16,6.56,6.6,6.16,111464.0,600021
262,2020-02-05,6.55,6.72,6.8,6.47,62333.0,600021
263,2020-02-06,6.78,6.77,6.81,6.71,52799.0,600021
264,2020-02-07,6.77,6.87,6.88,6.72,56498.0,600021
265,2020-02-10,6.87,6.89,6.95,6.82,44873.0,600021
266,2020-02-11,6.94,6.91,6.99,6.76,50531.0,600021
267,2020-02-12,6.91,6.92,6.93,6.83,36424.0,600021
268,2020-02-13,6.91,6.88,6.97,6.86,38852.0,600021
269,2020-02-14,6.85,6.88,6.94,6.85,32153.0,600021
270,2020-02-17,6.92,7.02,7.03,6.89,56968.0,600021
271,2020-02-18,7.03,6.98,7.05,6.96,63410.0,600021
272,2020-02-19,6.94,7.03,7.1,6.93,47417.0,600021
273,2020-02-20,7.03,7.12,7.15,6.99,63378.0,600021
274,2020-02-21,7.11,7.17,7.25,7.1,57008.0,600021
275,2020-02-24,7.15,7.1,7.2,7.06,63454.0,600021
276,2020-02-25,7.1,7.01,7.15,6.95,91046.0,600021
277,2020-02-26,7.04,7.0,7.05,6.86,81239.0,600021
278,2020-02-27,7.02,7.06,7.16,6.99,81271.0,600021
279,2020-02-28,7.01,6.8,7.03,6.77,108867.0,600021
280,2020-03-02,6.8,7.01,7.04,6.8,76962.0,600021
281,2020-03-03,7.08,7.03,7.1,6.97,80350.0,600021
282,2020-03-04,6.99,7.01,7.06,6.96,51163.0,600021
283,2020-03-05,7.04,7.13,7.16,7.03,86557.0,600021
284,2020-03-06,7.1,7.09,7.11,7.04,62968.0,600021
285,2020-03-09,7.05,6.94,7.05,6.89,90398.0,600021
286,2020-03-10,6.76,6.99,7.1,6.72,76088.0,600021
287,2020-03-11,7.01,6.96,7.03,6.94,68807.0,600021
288,2020-03-12,6.93,6.89,6.94,6.81,62972.0,600021
289,2020-03-13,6.72,6.95,6.97,6.64,76987.0,600021
290,2020-03-16,6.99,6.87,6.99,6.79,62076.0,600021
291,2020-03-17,6.85,6.93,6.96,6.85,73141.0,600021
292,2020-03-18,6.95,6.88,6.97,6.79,55589.0,600021
293,2020-03-19,6.81,6.98,6.99,6.81,84341.0,600021
294,2020-03-20,7.02,7.22,7.28,6.99,107025.0,600021
295,2020-03-23,7.22,7.36,7.61,7.06,226164.0,600021
296,2020-03-24,7.25,7.12,7.44,6.76,173360.0,600021
297,2020-03-25,7.12,7.02,7.13,6.95,108496.0,600021
298,2020-03-26,7.01,6.87,7.01,6.82,69665.0,600021
299,2020-03-27,6.93,6.86,6.95,6.86,37807.0,600021
300,2020-03-30,6.86,6.86,6.89,6.77,36858.0,600021
301,2020-03-31,6.86,6.78,6.94,6.74,52739.0,600021
302,2020-04-01,6.74,6.82,6.85,6.74,36665.0,600021
303,2020-04-02,6.74,6.87,6.9,6.74,53524.0,600021
304,2020-04-03,6.86,6.98,6.98,6.85,71959.0,600021
305,2020-04-07,7.04,7.12,7.16,6.99,77756.0,600021
306,2020-04-08,7.07,7.26,7.27,7.04,80431.0,600021
307,2020-04-09,7.31,7.2,7.34,7.19,59307.0,600021
308,2020-04-10,7.18,7.24,7.26,7.17,53351.0,600021
309,2020-04-13,7.22,7.34,7.42,7.2,61500.0,600021
310,2020-04-14,7.34,7.35,7.35,7.26,47760.0,600021
311,2020-04-15,7.37,7.31,7.41,7.25,45196.0,600021
312,2020-04-16,7.24,7.39,7.45,7.2,46647.0,600021
313,2020-04-17,7.51,7.34,7.51,7.31,47478.0,600021
314,2020-04-20,7.33,7.22,7.34,7.21,38693.0,600021
315,2020-04-21,7.21,7.14,7.26,7.06,37175.0,600021
316,2020-04-22,7.13,7.19,7.19,7.04,26966.0,600021
317,2020-04-23,7.24,7.17,7.24,7.14,34845.0,600021
318,2020-04-24,7.17,7.01,7.17,6.99,31714.0,600021
319,2020-04-27,7.01,7.01,7.11,6.96,30757.0,600021
320,2020-04-28,6.97,6.92,7.05,6.83,39695.0,600021
321,2020-04-29,6.94,6.99,7.02,6.92,22440.0,600021
322,2020-04-30,7.01,7.12,7.15,7.0,32911.0,600021
323,2020-05-06,7.0,7.17,7.19,6.99,38543.0,600021
324,2020-05-07,7.17,7.13,7.2,7.08,37703.0,600021
325,2020-05-08,7.15,7.15,7.18,7.1,30965.0,600021
326,2020-05-11,7.15,7.17,7.2,7.12,30911.0,600021
327,2020-05-12,7.18,7.17,7.21,7.11,34498.0,600021
328,2020-05-13,7.14,7.15,7.19,7.13,25523.0,600021
329,2020-05-14,7.15,7.11,7.17,6.97,24012.0,600021
330,2020-05-15,7.13,7.15,7.2,7.04,37983.0,600021
331,2020-05-18,7.15,7.09,7.15,7.06,36536.0,600021
332,2020-05-19,7.07,7.12,7.13,7.07,24669.0,600021
333,2020-05-20,7.12,7.29,7.29,7.1,66025.0,600021
334,2020-05-21,7.36,7.2,7.36,7.15,56072.0,600021
335,2020-05-22,7.19,7.14,7.2,7.06,34273.0,600021
336,2020-05-25,7.08,7.27,7.27,7.08,33882.0,600021
337,2020-05-26,7.32,7.27,7.33,7.23,63358.0,600021
338,2020-05-27,7.29,7.21,7.31,7.17,35222.0,600021
339,2020-05-28,7.3,7.26,7.3,7.19,40029.0,600021
340,2020-05-29,7.26,7.22,7.29,7.19,55502.0,600021
341,2020-06-01,7.22,7.34,7.39,7.22,74742.0,600021
342,2020-06-02,7.34,7.36,7.41,7.32,32567.0,600021
343,2020-06-03,7.37,7.4,7.44,7.35,34350.0,600021
344,2020-06-04,7.4,7.33,7.44,7.32,36338.0,600021
345,2020-06-05,7.35,7.34,7.38,7.26,32671.0,600021
346,2020-06-08,7.39,7.29,7.39,7.28,32681.0,600021
347,2020-06-09,7.29,7.29,7.33,7.22,28540.0,600021
348,2020-06-10,7.29,7.22,7.32,7.2,61472.0,600021
349,2020-06-11,7.22,7.12,7.25,7.1,76766.0,600021
350,2020-06-12,7.1,7.03,7.11,7.01,118039.0,600021
351,2020-06-15,7.04,6.99,7.05,6.91,107667.0,600021
352,2020-06-16,6.99,7.08,7.1,6.98,76034.0,600021
353,2020-06-17,7.1,7.17,7.19,7.08,71071.0,600021
354,2020-06-18,7.15,7.24,7.28,7.1,63557.0,600021
355,2020-06-19,7.23,7.28,7.32,7.19,58140.0,600021
356,2020-06-22,7.27,7.25,7.32,7.23,45567.0,600021
357,2020-06-23,7.24,7.23,7.26,7.17,44333.0,600021
358,2020-06-24,7.24,7.29,7.45,7.22,66852.0,600021
359,2020-06-29,7.3,7.22,7.34,7.2,42428.0,600021
360,2020-06-30,7.26,7.29,7.34,7.23,57651.0,600021
361,2020-07-01,7.31,7.59,7.7,7.25,138229.0,600021
362,2020-07-02,7.58,7.68,7.71,7.45,92192.0,600021
363,2020-07-03,7.67,7.67,7.76,7.59,91011.0,600021
364,2020-07-06,7.7,7.95,7.96,7.7,158385.0,600021
365,2020-07-07,8.02,8.06,8.24,7.95,172934.0,600021
366,2020-07-08,7.98,8.13,8.14,7.95,134807.0,600021
367,2020-07-09,8.13,8.06,8.13,7.99,180034.0,600021
368,2020-07-10,8.01,7.82,8.04,7.82,173744.0,600021
369,2020-07-13,7.83,7.99,8.02,7.83,138124.0,600021
370,2020-07-14,7.96,7.83,7.98,7.75,170031.0,600021
371,2020-07-15,7.87,7.74,7.89,7.7,98557.0,600021
372,2020-07-16,7.75,7.59,7.9,7.59,129678.0,600021
373,2020-07-17,7.6,7.47,7.66,7.4,117751.0,600021
374,2020-07-20,7.53,7.66,7.67,7.4,108057.0,600021
375,2020-07-21,7.62,7.6,7.7,7.58,77759.0,600021
376,2020-07-22,7.58,7.57,7.68,7.52,101970.0,600021
377,2020-07-23,7.51,7.53,7.57,7.29,99118.0,600021
378,2020-07-24,7.49,7.43,7.59,7.36,83030.0,600021
379,2020-07-27,7.45,7.52,7.57,7.35,62343.0,600021
380,2020-07-28,7.54,7.54,7.63,7.5,55253.0,600021
381,2020-07-29,7.53,7.66,7.66,7.47,74362.0,600021
382,2020-07-30,7.65,7.63,7.69,7.52,60911.0,600021
383,2020-07-31,7.58,7.74,7.83,7.58,111301.0,600021
384,2020-08-03,7.75,7.77,7.87,7.71,92450.0,600021
385,2020-08-04,7.78,7.7,7.79,7.65,66307.0,600021
386,2020-08-05,7.69,7.64,7.75,7.61,59089.0,600021
387,2020-08-06,7.63,7.63,7.69,7.56,60624.0,600021
388,2020-08-07,7.61,7.52,7.61,7.48,70810.0,600021
389,2020-08-10,7.52,7.59,7.62,7.32,49558.0,600021
390,2020-08-11,7.62,7.56,7.68,7.55,53873.0,600021
391,2020-08-12,7.54,7.57,7.6,7.49,48655.0,600021
392,2020-08-13,7.65,7.71,7.72,7.59,68338.0,600021
393,2020-08-14,7.71,7.72,7.74,7.63,44673.0,600021
394,2020-08-17,7.73,7.8,7.84,7.67,89682.0,600021
395,2020-08-18,7.83,7.74,7.83,7.71,55821.0,600021
396,2020-08-19,7.74,7.96,8.09,7.65,226493.0,600021
397,2020-08-20,7.97,7.69,7.97,7.66,152271.0,600021
398,2020-08-21,7.68,7.69,7.74,7.6,88918.0,600021
399,2020-08-24,7.71,7.68,7.78,7.63,74203.0,600021
400,2020-08-25,7.82,7.77,7.87,7.72,107024.0,600021
401,2020-08-26,7.82,7.63,7.82,7.62,90529.0,600021
402,2020-08-27,7.62,7.61,7.68,7.6,62734.0,600021
403,2020-08-28,7.6,7.57,7.61,7.49,108348.0,600021
404,2020-08-31,7.57,7.42,7.64,7.42,142634.0,600021
405,2020-09-01,7.42,7.42,7.44,7.33,95532.0,600021
406,2020-09-02,7.39,7.37,7.42,7.33,81454.0,600021
407,2020-09-03,7.44,7.47,7.5,7.42,132859.0,600021
408,2020-09-04,7.36,7.44,7.45,7.32,82601.0,600021
409,2020-09-07,7.39,7.41,7.45,7.37,66422.0,600021
410,2020-09-08,7.39,7.45,7.48,7.38,58808.0,600021
411,2020-09-09,7.42,7.48,7.56,7.4,89632.0,600021
412,2020-09-10,7.54,7.41,7.54,7.39,77195.0,600021
413,2020-09-11,7.38,7.46,7.47,7.37,46764.0,600021
414,2020-09-14,7.47,7.47,7.5,7.43,46784.0,600021
415,2020-09-15,7.47,7.46,7.47,7.41,31460.0,600021
416,2020-09-16,7.46,7.53,7.56,7.42,54321.0,600021
417,2020-09-17,7.53,7.55,7.61,7.48,64680.0,600021
418,2020-09-18,7.57,7.57,7.62,7.56,55739.0,600021
419,2020-09-21,7.6,7.59,7.6,7.53,51430.0,600021
420,2020-09-22,7.56,7.56,7.59,7.51,40539.0,600021
421,2020-09-23,7.58,7.56,7.62,7.54,37540.0,600021
422,2020-09-24,7.54,7.4,7.54,7.37,66827.0,600021
423,2020-09-25,7.41,7.33,7.43,7.33,61736.0,600021
424,2020-09-28,7.33,7.33,7.38,7.29,41405.0,600021
425,2020-09-29,7.32,7.42,7.49,7.32,46746.0,600021
426,2020-09-30,7.45,7.4,7.48,7.34,44091.0,600021
427,2020-10-09,7.48,7.51,7.56,7.41,48733.0,600021
428,2020-10-12,7.53,7.56,7.59,7.5,67136.0,600021
429,2020-10-13,7.59,7.52,7.61,7.5,41844.0,600021
430,2020-10-14,7.52,7.51,7.55,7.48,44373.0,600021
431,2020-10-15,7.52,7.53,7.54,7.48,30167.0,600021
432,2020-10-16,7.52,7.53,7.59,7.5,37807.0,600021
433,2020-10-19,7.56,7.53,7.59,7.49,46702.0,600021
434,2020-10-20,7.5,7.46,7.52,7.41,30669.0,600021
435,2020-10-21,7.44,7.39,7.46,7.34,37037.0,600021
436,2020-10-22,7.34,7.32,7.37,7.32,36952.0,600021
437,2020-10-23,7.3,7.32,7.38,7.3,26305.0,600021
438,2020-10-26,7.32,7.32,7.35,7.28,27766.0,600021
439,2020-10-27,7.31,7.23,7.33,7.19,32498.0,600021
440,2020-10-28,7.26,7.21,7.26,7.14,28944.0,600021
441,2020-10-29,7.17,7.18,7.23,7.13,33564.0,600021
442,2020-10-30,7.18,7.04,7.23,7.01,54151.0,600021
443,2020-11-02,7.01,7.03,7.11,7.0,39415.0,600021
444,2020-11-03,7.05,7.12,7.12,7.04,30140.0,600021
445,2020-11-04,7.14,7.06,7.14,7.01,32081.0,600021
446,2020-11-05,7.12,7.1,7.13,7.04,43749.0,600021
447,2020-11-06,7.07,7.1,7.12,7.06,40375.0,600021
448,2020-11-09,7.11,7.15,7.23,7.07,74170.0,600021
449,2020-11-10,7.16,7.1,7.19,7.09,63710.0,600021
450,2020-11-11,7.1,7.13,7.14,7.06,40903.0,600021
451,2020-11-12,7.12,7.12,7.15,7.09,36455.0,600021
452,2020-11-13,7.11,7.03,7.12,7.01,46307.0,600021
453,2020-11-16,7.05,7.16,7.21,7.04,64670.0,600021
454,2020-11-17,7.18,7.18,7.22,7.14,39713.0,600021
455,2020-11-18,7.18,7.18,7.22,7.15,46104.0,600021
456,2020-11-19,7.19,7.16,7.2,7.14,33571.0,600021
457,2020-11-20,7.14,7.19,7.19,7.14,25759.0,600021
458,2020-11-23,7.19,7.24,7.28,7.16,54934.0,600021
459,2020-11-24,7.24,7.2,7.26,7.2,32421.0,600021
460,2020-11-25,7.21,7.21,7.31,7.21,71930.0,600021
461,2020-11-26,7.25,7.41,7.47,7.22,128196.0,600021
462,2020-11-27,7.38,7.43,7.47,7.31,63457.0,600021
463,2020-11-30,7.41,7.32,7.51,7.29,86043.0,600021
464,2020-12-01,7.32,7.36,7.39,7.27,58737.0,600021
465,2020-12-02,7.37,7.35,7.38,7.28,54383.0,600021
466,2020-12-03,7.35,7.38,7.44,7.3,57145.0,600021
467,2020-12-04,7.38,7.35,7.39,7.31,29146.0,600021
468,2020-12-07,7.37,7.26,7.38,7.22,43482.0,600021
469,2020-12-08,7.22,7.2,7.25,7.19,27750.0,600021
470,2020-12-09,7.19,7.11,7.23,7.11,41938.0,600021
471,2020-12-10,7.13,7.05,7.13,7.04,45262.0,600021
472,2020-12-11,7.07,6.97,7.1,6.89,91318.0,600021
473,2020-12-14,6.94,6.91,6.95,6.85,55959.0,600021
474,2020-12-15,6.91,6.93,6.93,6.84,29295.0,600021
475,2020-12-16,6.91,6.95,6.96,6.9,23585.0,600021
476,2020-12-17,6.96,7.06,7.06,6.91,45593.0,600021
477,2020-12-18,7.12,7.14,7.3,7.12,106435.0,600021
478,2020-12-21,7.1,7.15,7.22,7.07,53918.0,600021
479,2020-12-22,7.13,6.98,7.14,6.94,58354.0,600021
480,2020-12-23,6.98,7.16,7.2,6.95,81215.0,600021
481,2020-12-24,7.19,7.08,7.23,7.03,52163.0,600021
482,2020-12-25,7.06,7.23,7.38,7.03,231286.0,600021
483,2020-12-28,7.29,7.31,7.42,7.21,168045.0,600021
484,2020-12-29,7.24,7.08,7.31,7.04,118418.0,600021
485,2020-12-30,7.06,7.05,7.15,7.0,73765.0,600021
486,2020-12-31,7.05,7.01,7.08,6.99,104442.0,600021
487,2021-01-04,7.02,7.0,7.04,6.96,94567.0,600021
488,2021-01-05,6.98,7.0,7.01,6.91,85662.0,600021
489,2021-01-06,7.01,7.05,7.08,6.94,83314.0,600021
490,2021-01-07,7.05,6.97,7.05,6.92,69563.0,600021
491,2021-01-08,6.99,7.07,7.12,6.94,93390.0,600021
492,2021-01-11,7.08,6.94,7.1,6.92,71577.0,600021
493,2021-01-12,6.98,6.94,7.01,6.92,58706.0,600021
494,2021-01-13,6.92,6.95,7.01,6.87,85199.0,600021
495,2021-01-14,6.95,6.98,7.06,6.94,76615.0,600021
496,2021-01-15,6.98,6.99,7.04,6.97,39004.0,600021
497,2021-01-18,6.98,6.98,7.01,6.96,55688.0,600021
498,2021-01-19,6.97,7.0,7.03,6.92,53655.0,600021
499,2021-01-20,6.99,6.96,7.0,6.95,34751.0,600021
500,2021-01-21,6.95,6.94,6.99,6.93,45805.0,600021
501,2021-01-22,6.95,6.93,6.95,6.91,43124.0,600021
502,2021-01-25,6.89,6.87,6.93,6.85,47985.0,600021
503,2021-01-26,6.84,6.89,6.9,6.83,30551.0,600021
504,2021-01-27,6.9,6.79,6.94,6.77,67296.0,600021
505,2021-01-28,6.79,6.71,6.79,6.67,50902.0,600021
506,2021-01-29,6.71,6.68,6.77,6.67,36299.0,600021
507,2021-02-01,6.68,6.63,6.69,6.61,28583.0,600021
508,2021-02-02,6.64,6.63,6.68,6.63,30851.0,600021
509,2021-02-03,6.63,6.54,6.65,6.47,44063.0,600021
